Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-12-06	ParlaMint-IS_2016-12-06.u1	Speeches in the national parliament of Iceland, 22. term, special meeting 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	sérstakur	-	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	GudniJohannesson	Jóhannesson, Guðni Th.	M	1968	
ParlaMint-IS-en_2016-12-06	ParlaMint-IS_2016-12-06.u2	Speeches in the national parliament of Iceland, 22. term, special meeting 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	sérstakur	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-06	ParlaMint-IS_2016-12-06.u3	Speeches in the national parliament of Iceland, 22. term, special meeting 06.12.2016.	2016-12-06	Unicameralism	22. kjörtímabil	146. löggjafarþing	sérstakur	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
