Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-12-22-14	ParlaMint-IS_2016-12-22-14.u1	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-14, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2016-12-22-14	ParlaMint-IS_2016-12-22-14.u2	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-14, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	HaraldurBenediktsson	Benediktsson, Haraldur	M	1966	
ParlaMint-IS-en_2016-12-22-14	ParlaMint-IS_2016-12-22-14.u3	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-14, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	HaraldurBenediktsson	Benediktsson, Haraldur	M	1966	
ParlaMint-IS-en_2016-12-22-14	ParlaMint-IS_2016-12-22-14.u4	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-14, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-22-14	ParlaMint-IS_2016-12-22-14.u5	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-14, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	THorunnEgilsdottir	Egilsdóttir, Þórunn	F	1964	
ParlaMint-IS-en_2016-12-22-14	ParlaMint-IS_2016-12-22-14.u6	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-14, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-12-22-14	ParlaMint-IS_2016-12-22-14.u7	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-14, 22.12.2016.	2016-12-22	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
