Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	EinarGudfinnsson1955	Guðfinnsson, Einar K.	M	1955	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	KatrinJuliusdottir	Júlíusdóttir, Katrín	F	1974	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	BrynhildurPetursdottir	Pétursdóttir, Brynhildur	F	1969	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	HelgiGunnarsson	Gunnarsson, Helgi Hrafn	M	1980	
ParlaMint-IS-en_2016-04-08-94	ParlaMint-IS_2016-04-08-94.u11	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-94, 08.04.2016.	2016-04-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	EygloHardardottir	Harðardóttir, Eygló	F	1972	
