Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-10-12-170	ParlaMint-IS_2016-10-12-170.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-170, 12.10.2016.	2016-10-12	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	LineikSaevarsdottir	Sævarsdóttir, Líneik Anna	F	1964	
ParlaMint-IS-en_2016-10-12-170	ParlaMint-IS_2016-10-12-170.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-170, 12.10.2016.	2016-10-12	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	GudmundurSteingrimsson	Steingrímsson, Guðmundur	M	1972	
ParlaMint-IS-en_2016-10-12-170	ParlaMint-IS_2016-10-12-170.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-170, 12.10.2016.	2016-10-12	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	LineikSaevarsdottir	Sævarsdóttir, Líneik Anna	F	1964	
ParlaMint-IS-en_2016-10-12-170	ParlaMint-IS_2016-10-12-170.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-170, 12.10.2016.	2016-10-12	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	GudmundurSteingrimsson	Steingrímsson, Guðmundur	M	1972	
ParlaMint-IS-en_2016-10-12-170	ParlaMint-IS_2016-10-12-170.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-170, 12.10.2016.	2016-10-12	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	LineikSaevarsdottir	Sævarsdóttir, Líneik Anna	F	1964	
ParlaMint-IS-en_2016-10-12-170	ParlaMint-IS_2016-10-12-170.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-170, 12.10.2016.	2016-10-12	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	GudmundurSteingrimsson	Steingrímsson, Guðmundur	M	1972	
