Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-05-20-113	ParlaMint-IS_2016-05-20-113.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-113, 20.05.2016.	2016-05-20	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-05-20-113	ParlaMint-IS_2016-05-20-113.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-113, 20.05.2016.	2016-05-20	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2016-05-20-113	ParlaMint-IS_2016-05-20-113.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-113, 20.05.2016.	2016-05-20	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ValgerdurBjarnadottir	Bjarnadóttir, Valgerður	F	1950	
ParlaMint-IS-en_2016-05-20-113	ParlaMint-IS_2016-05-20-113.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-113, 20.05.2016.	2016-05-20	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BirgittaJonsdottir	Jónsdóttir, Birgitta	F	1967	
ParlaMint-IS-en_2016-05-20-113	ParlaMint-IS_2016-05-20-113.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-113, 20.05.2016.	2016-05-20	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	FrostiSigurjonsson	Sigurjónsson, Frosti	M	1962	
ParlaMint-IS-en_2016-05-20-113	ParlaMint-IS_2016-05-20-113.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-113, 20.05.2016.	2016-05-20	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-05-20-113	ParlaMint-IS_2016-05-20-113.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-113, 20.05.2016.	2016-05-20	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OssurSkarphedinsson	Skarphéðinsson, Össur	M	1953	
ParlaMint-IS-en_2016-05-20-113	ParlaMint-IS_2016-05-20-113.u8	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-113, 20.05.2016.	2016-05-20	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2016-05-20-113	ParlaMint-IS_2016-05-20-113.u9	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-113, 20.05.2016.	2016-05-20	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	OssurSkarphedinsson	Skarphéðinsson, Össur	M	1953	
ParlaMint-IS-en_2016-05-20-113	ParlaMint-IS_2016-05-20-113.u10	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-113, 20.05.2016.	2016-05-20	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
