Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-06-02-127	ParlaMint-IS_2016-06-02-127.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-127, 02.06.2016.	2016-06-02	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	Coalition	Centre to centre-right	FrostiSigurjonsson	Sigurjónsson, Frosti	M	1962	
ParlaMint-IS-en_2016-06-02-127	ParlaMint-IS_2016-06-02-127.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-127, 02.06.2016.	2016-06-02	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	ArniArnason	Árnason, Árni Páll	M	1966	
ParlaMint-IS-en_2016-06-02-127	ParlaMint-IS_2016-06-02-127.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-127, 02.06.2016.	2016-06-02	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2016-06-02-127	ParlaMint-IS_2016-06-02-127.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-127, 02.06.2016.	2016-06-02	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Bf	Björt framtíð	-	Centre	GudmundurSteingrimsson	Steingrímsson, Guðmundur	M	1972	
ParlaMint-IS-en_2016-06-02-127	ParlaMint-IS_2016-06-02-127.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-127, 02.06.2016.	2016-06-02	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BirgittaJonsdottir	Jónsdóttir, Birgitta	F	1967	
ParlaMint-IS-en_2016-06-02-127	ParlaMint-IS_2016-06-02-127.u6	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-127, 02.06.2016.	2016-06-02	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2016-06-02-127	ParlaMint-IS_2016-06-02-127.u7	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-127, 02.06.2016.	2016-06-02	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BirgirArmannsson	Ármannsson, Birgir	M	1968	
