Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2016-06-08-131	ParlaMint-IS_2016-06-08-131.u1	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-131, 08.06.2016.	2016-06-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2016-06-08-131	ParlaMint-IS_2016-06-08-131.u2	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-131, 08.06.2016.	2016-06-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	KatrinJuliusdottir	Júlíusdóttir, Katrín	F	1974	
ParlaMint-IS-en_2016-06-08-131	ParlaMint-IS_2016-06-08-131.u3	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-131, 08.06.2016.	2016-06-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	
ParlaMint-IS-en_2016-06-08-131	ParlaMint-IS_2016-06-08-131.u4	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-131, 08.06.2016.	2016-06-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	AstaHelgadottir	Helgadóttir, Ásta Guðrún	F	1990	
ParlaMint-IS-en_2016-06-08-131	ParlaMint-IS_2016-06-08-131.u5	Speeches in the national parliament of Iceland, 21. term, regular meeting 145-131, 08.06.2016.	2016-06-08	Unicameralism	21. kjörtímabil	145. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	F	Framsóknarflokkur	Coalition	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
