Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2020-10-05-S2-commons	ParlaMint-GR_2020-10-05-S2-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 2, 2020-10-05	2020-10-05	Unicameralism	18	2	-	2	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-10-05-S2-commons	ParlaMint-GR_2020-10-05-S2-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 2, 2020-10-05	2020-10-05	Unicameralism	18	2	-	2	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-10-05-S2-commons	ParlaMint-GR_2020-10-05-S2-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 2, 2020-10-05	2020-10-05	Unicameralism	18	2	-	2	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-10-05-S2-commons	ParlaMint-GR_2020-10-05-S2-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 2, 2020-10-05	2020-10-05	Unicameralism	18	2	-	2	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-10-05-S2-commons	ParlaMint-GR_2020-10-05-S2-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 2, 2020-10-05	2020-10-05	Unicameralism	18	2	-	2	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-10-05-S2-commons	ParlaMint-GR_2020-10-05-S2-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 2, 2020-10-05	2020-10-05	Unicameralism	18	2	-	2	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-10-05-S2-commons	ParlaMint-GR_2020-10-05-S2-commons.u7	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 2, 2020-10-05	2020-10-05	Unicameralism	18	2	-	2	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-10-05-S2-commons	ParlaMint-GR_2020-10-05-S2-commons.u8	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 2, 2020-10-05	2020-10-05	Unicameralism	18	2	-	2	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-10-05-S2-commons	ParlaMint-GR_2020-10-05-S2-commons.u9	Minutes of the assembly of the greek parliament, Term 18, session 2, sitting 2, 2020-10-05	2020-10-05	Unicameralism	18	2	-	2	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
