Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2020-06-17-S2-commons	ParlaMint-GR_2020-06-17-S2-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 162, 2020-06-17	2020-06-17	Unicameralism	18	1	-	162	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-06-17-S2-commons	ParlaMint-GR_2020-06-17-S2-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 162, 2020-06-17	2020-06-17	Unicameralism	18	1	-	162	-	COVID	English	Regular	MP	notMinister	SY.RIZ.A.	Coalition of the Radical Left – Progressive Alliance	Opposition	Centre-left to left	ΧΑΤΖΗΓΙΑΝΝΑΚΗΣ_ΕΥΑΓΓΕΛΟΥ_ΜΙΛΤΙΑΔΗΣ	Chatzīgiannakīs, Miltiadīs	M	-	
ParlaMint-GR-en_2020-06-17-S2-commons	ParlaMint-GR_2020-06-17-S2-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 162, 2020-06-17	2020-06-17	Unicameralism	18	1	-	162	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-06-17-S2-commons	ParlaMint-GR_2020-06-17-S2-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 162, 2020-06-17	2020-06-17	Unicameralism	18	1	-	162	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-06-17-S2-commons	ParlaMint-GR_2020-06-17-S2-commons.u5	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 162, 2020-06-17	2020-06-17	Unicameralism	18	1	-	162	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-06-17-S2-commons	ParlaMint-GR_2020-06-17-S2-commons.u6	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 162, 2020-06-17	2020-06-17	Unicameralism	18	1	-	162	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
ParlaMint-GR-en_2020-06-17-S2-commons	ParlaMint-GR_2020-06-17-S2-commons.u7	Minutes of the assembly of the greek parliament, Term 18, session 1, sitting 162, 2020-06-17	2020-06-17	Unicameralism	18	1	-	162	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΑΘΑΝΑΣΙΟΥ_ΧΡΙΣΤΟΦΑ_ΧΑΡΑΛΑΜΠΟΣ	Athanasioy, Charalampos	M	-	
