Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u1	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u2	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	TadeuszRomańczuk	Romańczuk, Tadeusz	M	1957	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u3	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u4	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MarianBanaś	Banaś, Marian	M	-	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u5	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u6	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	LeszekCzarnobaj	Czarnobaj, Leszek	M	1956	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u7	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u8	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	JerzyChróścikowski	Chróścikowski, Jerzy	M	1953	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u9	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u10	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	AntoniSzymański	Szymański, Antoni	M	1952	
ParlaMint-PL-en_2017-02-24-senat-35-3	ParlaMint-PL_2017-02-24-senat-35-3.u11	Report of the session of the Senat of the Republic of Poland, Term 9, Session 35, Day 3 (2017-02-24)	2017-02-24	Upper house	9. kadencja Senatu	35. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
