Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2014-08-27-ps2013-012-09-001-025	ParlaMint-CZ_2014-08-27-ps2013-012-09-001-025.u1	Parliament of the Czech Republic, Chamber of Deputies, 2014-08-27	2014-08-27	Lower house	ps2013	-	ps2013/012	ps2013/012/09	ps2013/012/025	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-08-27-ps2013-012-09-001-025	ParlaMint-CZ_2014-08-27-ps2013-012-09-001-025.u2	Parliament of the Czech Republic, Chamber of Deputies, 2014-08-27	2014-08-27	Lower house	ps2013	-	ps2013/012	ps2013/012/09	ps2013/012/025	Reference	English	Regular	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	MiroslavKalousek.1960	Kalousek, Miroslav	M	1960	
ParlaMint-CZ-en_2014-08-27-ps2013-012-09-001-025	ParlaMint-CZ_2014-08-27-ps2013-012-09-001-025.u3	Parliament of the Czech Republic, Chamber of Deputies, 2014-08-27	2014-08-27	Lower house	ps2013	-	ps2013/012	ps2013/012/09	ps2013/012/025	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-08-27-ps2013-012-09-001-025	ParlaMint-CZ_2014-08-27-ps2013-012-09-001-025.u4	Parliament of the Czech Republic, Chamber of Deputies, 2014-08-27	2014-08-27	Lower house	ps2013	-	ps2013/012	ps2013/012/09	ps2013/012/025	Reference	English	Regular	MP	notMinister	Úsvit	Political group of Usvit - Narodni Koalice	Opposition	Far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2014-08-27-ps2013-012-09-001-025	ParlaMint-CZ_2014-08-27-ps2013-012-09-001-025.u5	Parliament of the Czech Republic, Chamber of Deputies, 2014-08-27	2014-08-27	Lower house	ps2013	-	ps2013/012	ps2013/012/09	ps2013/012/025	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-08-27-ps2013-012-09-001-025	ParlaMint-CZ_2014-08-27-ps2013-012-09-001-025.u6	Parliament of the Czech Republic, Chamber of Deputies, 2014-08-27	2014-08-27	Lower house	ps2013	-	ps2013/012	ps2013/012/09	ps2013/012/025	Reference	English	Regular	MP	notMinister	Úsvit	Political group of Usvit - Narodni Koalice	Opposition	Far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2014-08-27-ps2013-012-09-001-025	ParlaMint-CZ_2014-08-27-ps2013-012-09-001-025.u7	Parliament of the Czech Republic, Chamber of Deputies, 2014-08-27	2014-08-27	Lower house	ps2013	-	ps2013/012	ps2013/012/09	ps2013/012/025	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-08-27-ps2013-012-09-001-025	ParlaMint-CZ_2014-08-27-ps2013-012-09-001-025.u8	Parliament of the Czech Republic, Chamber of Deputies, 2014-08-27	2014-08-27	Lower house	ps2013	-	ps2013/012	ps2013/012/09	ps2013/012/025	Reference	English	Regular	MP	notMinister	Úsvit	Political group of Usvit - Narodni Koalice	Opposition	Far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2014-08-27-ps2013-012-09-001-025	ParlaMint-CZ_2014-08-27-ps2013-012-09-001-025.u9	Parliament of the Czech Republic, Chamber of Deputies, 2014-08-27	2014-08-27	Lower house	ps2013	-	ps2013/012	ps2013/012/09	ps2013/012/025	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
ParlaMint-CZ-en_2014-08-27-ps2013-012-09-001-025	ParlaMint-CZ_2014-08-27-ps2013-012-09-001-025.u10	Parliament of the Czech Republic, Chamber of Deputies, 2014-08-27	2014-08-27	Lower house	ps2013	-	ps2013/012	ps2013/012/09	ps2013/012/025	Reference	English	Regular	MP	notMinister	Úsvit	Political group of Usvit - Narodni Koalice	Opposition	Far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2014-08-27-ps2013-012-09-001-025	ParlaMint-CZ_2014-08-27-ps2013-012-09-001-025.u11	Parliament of the Czech Republic, Chamber of Deputies, 2014-08-27	2014-08-27	Lower house	ps2013	-	ps2013/012	ps2013/012/09	ps2013/012/025	Reference	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	JaroslavaPokornaJermanova.1970	Pokorná Jermanová, Jaroslava	F	1970	
