Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2014-03-26-ps2013-007-06-004-037	ParlaMint-CZ_2014-03-26-ps2013-007-06-004-037.u1	Parliament of the Czech Republic, Chamber of Deputies, 2014-03-26	2014-03-26	Lower house	ps2013	-	ps2013/007	ps2013/007/06	ps2013/007/037	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
ParlaMint-CZ-en_2014-03-26-ps2013-007-06-004-037	ParlaMint-CZ_2014-03-26-ps2013-007-06-004-037.u2	Parliament of the Czech Republic, Chamber of Deputies, 2014-03-26	2014-03-26	Lower house	ps2013	-	ps2013/007	ps2013/007/06	ps2013/007/037	Reference	English	Regular	MP	notMinister	KSČM	Political group Communist Party of Bohemia and Moravia	Opposition	Left to far-left	VaclavSnopek.1951	Snopek, Václav	M	1951	
ParlaMint-CZ-en_2014-03-26-ps2013-007-06-004-037	ParlaMint-CZ_2014-03-26-ps2013-007-06-004-037.u3	Parliament of the Czech Republic, Chamber of Deputies, 2014-03-26	2014-03-26	Lower house	ps2013	-	ps2013/007	ps2013/007/06	ps2013/007/037	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
ParlaMint-CZ-en_2014-03-26-ps2013-007-06-004-037	ParlaMint-CZ_2014-03-26-ps2013-007-06-004-037.u4	Parliament of the Czech Republic, Chamber of Deputies, 2014-03-26	2014-03-26	Lower house	ps2013	-	ps2013/007	ps2013/007/06	ps2013/007/037	Reference	English	Regular	MP	Minister	ANO	Political group ANO 2011	Coalition	Centre to centre-right	RichardBrabec.1966	Brabec, Richard	M	1966	
ParlaMint-CZ-en_2014-03-26-ps2013-007-06-004-037	ParlaMint-CZ_2014-03-26-ps2013-007-06-004-037.u5	Parliament of the Czech Republic, Chamber of Deputies, 2014-03-26	2014-03-26	Lower house	ps2013	-	ps2013/007	ps2013/007/06	ps2013/007/037	Reference	English	Chairperson	MP	notMinister	TOP09-S	Political group TOP 09 a Starostové	Opposition	Centre-right	PetrGazdik.1974	Gazdík, Petr	M	1974	
