Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2021-12-08-PT13-2330	ParlaMint-LV_2021-12-08-PT13-2330-U13	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-12-08	2021-12-08	Unicameralism	13. sasaukums	-	Regulārā	2021-12-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-12-08-PT13-2330	ParlaMint-LV_2021-12-08-PT13-2330-U14	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-12-08	2021-12-08	Unicameralism	13. sasaukums	-	Regulārā	2021-12-08	-	COVID	English	Regular	MP	notMinister	AP	Attīstībai/Par!	Coalition	Centre	DūrītisIlmārs	Dūrītis, Ilmārs	M	-	
ParlaMint-LV-en_2021-12-08-PT13-2330	ParlaMint-LV_2021-12-08-PT13-2330-U15	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-12-08	2021-12-08	Unicameralism	13. sasaukums	-	Regulārā	2021-12-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-12-08-PT13-2330	ParlaMint-LV_2021-12-08-PT13-2330-U16	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-12-08	2021-12-08	Unicameralism	13. sasaukums	-	Regulārā	2021-12-08	-	COVID	English	Regular	MP	notMinister	AP	Attīstībai/Par!	Coalition	Centre	DūrītisIlmārs	Dūrītis, Ilmārs	M	-	
ParlaMint-LV-en_2021-12-08-PT13-2330	ParlaMint-LV_2021-12-08-PT13-2330-U17	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-12-08	2021-12-08	Unicameralism	13. sasaukums	-	Regulārā	2021-12-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-12-08-PT13-2330	ParlaMint-LV_2021-12-08-PT13-2330-U18	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-12-08	2021-12-08	Unicameralism	13. sasaukums	-	Regulārā	2021-12-08	-	COVID	English	Regular	MP	notMinister	ZZS	Zaļo un Zemnieku savienība	Opposition	Centre to centre-right	ValainisViktors	Valainis, Viktors	M	-	
ParlaMint-LV-en_2021-12-08-PT13-2330	ParlaMint-LV_2021-12-08-PT13-2330-U19	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-12-08	2021-12-08	Unicameralism	13. sasaukums	-	Regulārā	2021-12-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-12-08-PT13-2330	ParlaMint-LV_2021-12-08-PT13-2330-U20	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-12-08	2021-12-08	Unicameralism	13. sasaukums	-	Regulārā	2021-12-08	-	COVID	English	Regular	MP	notMinister	AP	Attīstībai/Par!	Coalition	Centre	DūrītisIlmārs	Dūrītis, Ilmārs	M	-	
ParlaMint-LV-en_2021-12-08-PT13-2330	ParlaMint-LV_2021-12-08-PT13-2330-U21	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-12-08	2021-12-08	Unicameralism	13. sasaukums	-	Regulārā	2021-12-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2021-12-08-PT13-2330	ParlaMint-LV_2021-12-08-PT13-2330-U22	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-12-08	2021-12-08	Unicameralism	13. sasaukums	-	Regulārā	2021-12-08	-	COVID	English	Regular	MP	notMinister	AP	Attīstībai/Par!	Coalition	Centre	DūrītisIlmārs	Dūrītis, Ilmārs	M	-	
ParlaMint-LV-en_2021-12-08-PT13-2330	ParlaMint-LV_2021-12-08-PT13-2330-U23	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-12-08	2021-12-08	Unicameralism	13. sasaukums	-	Regulārā	2021-12-08	-	COVID	English	Chairperson	MP	notMinister	NA	Nacionālā apvienība "Visu Latvijai!"–"Tēvzemei un Brīvībai/LNNK"	Coalition	Right	MūrnieceInāra	Mūrniece, Ināra	F	-	
