Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Regular	MP	notMinister	AP	Attīstībai/Par!	Coalition	Centre	ŠteinsMārtiņš	Šteins, Mārtiņš	M	-	
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U4	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	OrlovsVitālijs	Orlovs, Vitālijs	M	-	
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U5	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U6	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	OrlovsVitālijs	Orlovs, Vitālijs	M	-	
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U7	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U8	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	StepaņenkoJūlija	Stepaņenko, Jūlija	F	-	
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U9	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U10	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Regular	MP	notMinister	AP	Attīstībai/Par!	Coalition	Centre	ŠteinsMārtiņš	Šteins, Mārtiņš	M	-	
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U11	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2021-02-18-PT13-2197	ParlaMint-LV_2021-02-18-PT13-2197-U12	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2021-02-18	2021-02-18	Unicameralism	13. sasaukums	-	Regulārā	2021-02-18	-	COVID	English	Regular	MP	notMinister	AP	Attīstībai/Par!	Coalition	Centre	ŠteinsMārtiņš	Šteins, Mārtiņš	M	-	
