Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2002-05-16-m1	ParlaMint-UA_2002-05-16-m1.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 1, sitting day 2002-05-16, n1	2002-05-16	Unicameralism	4	1	-	2002-05-16	-	Reference	English	Chairperson	MP	notMinister	frNU02	Our Ukraine Bloc 2002 Faction	-	Centre-right	ВікторЛаврентійовичМусіяка.1946	Musijaka, Viktor Lavrentijovyč	M	1946	
ParlaMint-UA-en_2002-05-16-m1	ParlaMint-UA_2002-05-16-m1.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 1, sitting day 2002-05-16, n1	2002-05-16	Unicameralism	4	1	-	2002-05-16	-	Reference	English	Regular	MP	notMinister	bNU02	Our Ukraine Bloc 2002	-	Centre-right	МиколаЄфремовичПоліщук.1944	Poliščuk, Mykola Jefremovyč	M	1944	
ParlaMint-UA-en_2002-05-16-m1	ParlaMint-UA_2002-05-16-m1.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 1, sitting day 2002-05-16, n1	2002-05-16	Unicameralism	4	1	-	2002-05-16	-	Reference	English	Chairperson	MP	notMinister	frNU02	Our Ukraine Bloc 2002 Faction	-	Centre-right	ВікторЛаврентійовичМусіяка.1946	Musijaka, Viktor Lavrentijovyč	M	1946	
ParlaMint-UA-en_2002-05-16-m1	ParlaMint-UA_2002-05-16-m1.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 1, sitting day 2002-05-16, n1	2002-05-16	Unicameralism	4	1	-	2002-05-16	-	Reference	English	Chairperson	MP	notMinister	frNU02	Our Ukraine Bloc 2002 Faction	-	Centre-right	ВікторЛаврентійовичМусіяка.1946	Musijaka, Viktor Lavrentijovyč	M	1946	
