Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2002-05-16-m0	ParlaMint-UA_2002-05-16-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 1, sitting day 2002-05-16, n0	2002-05-16	Unicameralism	4	1	-	2002-05-16	-	Reference	English	Chairperson	MP	notMinister	frNU02	Our Ukraine Bloc 2002 Faction	-	Centre-right	ВікторЛаврентійовичМусіяка.1946	Musijaka, Viktor Lavrentijovyč	M	1946	
ParlaMint-UA-en_2002-05-16-m0	ParlaMint-UA_2002-05-16-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 1, sitting day 2002-05-16, n0	2002-05-16	Unicameralism	4	1	-	2002-05-16	-	Reference	English	Chairperson	MP	notMinister	frNU02	Our Ukraine Bloc 2002 Faction	-	Centre-right	ВікторЛаврентійовичМусіяка.1946	Musijaka, Viktor Lavrentijovyč	M	1946	
ParlaMint-UA-en_2002-05-16-m0	ParlaMint-UA_2002-05-16-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 1, sitting day 2002-05-16, n0	2002-05-16	Unicameralism	4	1	-	2002-05-16	-	Reference	English	Regular	MP	notMinister	frCPU	Communist Party Faction	-	Far-left	ВалерійДмитровичМішура.1941	Mišura, Valerij Dmytrovyč	M	1941	
ParlaMint-UA-en_2002-05-16-m0	ParlaMint-UA_2002-05-16-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 4, session 1, sitting day 2002-05-16, n0	2002-05-16	Unicameralism	4	1	-	2002-05-16	-	Reference	English	Chairperson	MP	notMinister	frNU02	Our Ukraine Bloc 2002 Faction	-	Centre-right	ВікторЛаврентійовичМусіяка.1946	Musijaka, Viktor Lavrentijovyč	M	1946	
