Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-03-26-022-XXII-NRSITZ-00011	ParlaMint-AT_2003-03-26-022-XXII-NRSITZ-00011_d7e434	Sitting Number 11, Legislative period XXII, Wednesday, 26. March 2003	2003-03-26	Lower house	Legislative period XXII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2003-03-26-022-XXII-NRSITZ-00011	ParlaMint-AT_2003-03-26-022-XXII-NRSITZ-00011_d7e465	Sitting Number 11, Legislative period XXII, Wednesday, 26. March 2003	2003-03-26	Lower house	Legislative period XXII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2003-03-26-022-XXII-NRSITZ-00011	ParlaMint-AT_2003-03-26-022-XXII-NRSITZ-00011_d7e762	Sitting Number 11, Legislative period XXII, Wednesday, 26. March 2003	2003-03-26	Lower house	Legislative period XXII	-	-	Sitting 11	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
