Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-06-11-022-XXII-NRSITZ-00021	ParlaMint-AT_2003-06-11-022-XXII-NRSITZ-00021_d7e484	Sitting Number 21, Legislative period XXII, Wednesday, 11. June 2003	2003-06-11	Lower house	Legislative period XXII	-	-	Sitting 21	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-11-022-XXII-NRSITZ-00021	ParlaMint-AT_2003-06-11-022-XXII-NRSITZ-00021_d7e512	Sitting Number 21, Legislative period XXII, Wednesday, 11. June 2003	2003-06-11	Lower house	Legislative period XXII	-	-	Sitting 21	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-11-022-XXII-NRSITZ-00021	ParlaMint-AT_2003-06-11-022-XXII-NRSITZ-00021_d7e702	Sitting Number 21, Legislative period XXII, Wednesday, 11. June 2003	2003-06-11	Lower house	Legislative period XXII	-	-	Sitting 21	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
