Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-05-08-022-XXII-NRSITZ-00016	ParlaMint-AT_2003-05-08-022-XXII-NRSITZ-00016_d7e355	Sitting Number 16, Legislative period XXII, Thursday, 8. May 2003	2003-05-08	Lower house	Legislative period XXII	-	-	Sitting 16	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2003-05-08-022-XXII-NRSITZ-00016	ParlaMint-AT_2003-05-08-022-XXII-NRSITZ-00016_d7e395	Sitting Number 16, Legislative period XXII, Thursday, 8. May 2003	2003-05-08	Lower house	Legislative period XXII	-	-	Sitting 16	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2003-05-08-022-XXII-NRSITZ-00016	ParlaMint-AT_2003-05-08-022-XXII-NRSITZ-00016_d7e532	Sitting Number 16, Legislative period XXII, Thursday, 8. May 2003	2003-05-08	Lower house	Legislative period XXII	-	-	Sitting 16	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
