Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-02-26-022-XXII-NRSITZ-00006	ParlaMint-AT_2003-02-26-022-XXII-NRSITZ-00006_d7e355	Sitting Number 6, Legislative period XXII, Wednesday, 26. February 2003	2003-02-26	Lower house	Legislative period XXII	-	-	Sitting 6	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-02-26-022-XXII-NRSITZ-00006	ParlaMint-AT_2003-02-26-022-XXII-NRSITZ-00006_d7e383	Sitting Number 6, Legislative period XXII, Wednesday, 26. February 2003	2003-02-26	Lower house	Legislative period XXII	-	-	Sitting 6	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-02-26-022-XXII-NRSITZ-00006	ParlaMint-AT_2003-02-26-022-XXII-NRSITZ-00006_d7e676	Sitting Number 6, Legislative period XXII, Wednesday, 26. February 2003	2003-02-26	Lower house	Legislative period XXII	-	-	Sitting 6	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
