Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-01-23-022-XXII-NRSITZ-00004	ParlaMint-AT_2003-01-23-022-XXII-NRSITZ-00004_d7e330	Sitting Number 4, Legislative period XXII, Thursday, 23. January 2003	2003-01-23	Lower house	Legislative period XXII	-	-	Sitting 4	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-01-23-022-XXII-NRSITZ-00004	ParlaMint-AT_2003-01-23-022-XXII-NRSITZ-00004_d7e361	Sitting Number 4, Legislative period XXII, Thursday, 23. January 2003	2003-01-23	Lower house	Legislative period XXII	-	-	Sitting 4	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-01-23-022-XXII-NRSITZ-00004	ParlaMint-AT_2003-01-23-022-XXII-NRSITZ-00004_d7e682	Sitting Number 4, Legislative period XXII, Thursday, 23. January 2003	2003-01-23	Lower house	Legislative period XXII	-	-	Sitting 4	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
