Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-12-04-022-XXII-NRSITZ-00042	ParlaMint-AT_2003-12-04-022-XXII-NRSITZ-00042_d7e379	Sitting Number 42, Legislative period XXII, Thursday, 4. December 2003	2003-12-04	Lower house	Legislative period XXII	-	-	Sitting 42	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-12-04-022-XXII-NRSITZ-00042	ParlaMint-AT_2003-12-04-022-XXII-NRSITZ-00042_d7e407	Sitting Number 42, Legislative period XXII, Thursday, 4. December 2003	2003-12-04	Lower house	Legislative period XXII	-	-	Sitting 42	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-12-04-022-XXII-NRSITZ-00042	ParlaMint-AT_2003-12-04-022-XXII-NRSITZ-00042_d7e587	Sitting Number 42, Legislative period XXII, Thursday, 4. December 2003	2003-12-04	Lower house	Legislative period XXII	-	-	Sitting 42	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-12-04-022-XXII-NRSITZ-00042	ParlaMint-AT_2003-12-04-022-XXII-NRSITZ-00042_d7e619	Sitting Number 42, Legislative period XXII, Thursday, 4. December 2003	2003-12-04	Lower house	Legislative period XXII	-	-	Sitting 42	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
