Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-10-23-022-XXII-NRSITZ-00036	ParlaMint-AT_2003-10-23-022-XXII-NRSITZ-00036_d7e372	Sitting Number 36, Legislative period XXII, Thursday, 23. October 2003	2003-10-23	Lower house	Legislative period XXII	-	-	Sitting 36	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-10-23-022-XXII-NRSITZ-00036	ParlaMint-AT_2003-10-23-022-XXII-NRSITZ-00036_d7e412	Sitting Number 36, Legislative period XXII, Thursday, 23. October 2003	2003-10-23	Lower house	Legislative period XXII	-	-	Sitting 36	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-10-23-022-XXII-NRSITZ-00036	ParlaMint-AT_2003-10-23-022-XXII-NRSITZ-00036_d7e522	Sitting Number 36, Legislative period XXII, Thursday, 23. October 2003	2003-10-23	Lower house	Legislative period XXII	-	-	Sitting 36	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
