Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-09-24-022-XXII-NRSITZ-00033	ParlaMint-AT_2003-09-24-022-XXII-NRSITZ-00033_d7e343	Sitting Number 33, Legislative period XXII, Wednesday, 24. September 2003	2003-09-24	Lower house	Legislative period XXII	-	-	Sitting 33	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-09-24-022-XXII-NRSITZ-00033	ParlaMint-AT_2003-09-24-022-XXII-NRSITZ-00033_d7e371	Sitting Number 33, Legislative period XXII, Wednesday, 24. September 2003	2003-09-24	Lower house	Legislative period XXII	-	-	Sitting 33	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-09-24-022-XXII-NRSITZ-00033	ParlaMint-AT_2003-09-24-022-XXII-NRSITZ-00033_d7e652	Sitting Number 33, Legislative period XXII, Wednesday, 24. September 2003	2003-09-24	Lower house	Legislative period XXII	-	-	Sitting 33	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
