Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-03-06-022-XXII-NRSITZ-00008	ParlaMint-AT_2003-03-06-022-XXII-NRSITZ-00008_d7e358	Sitting Number 8, Legislative period XXII, Thursday, 6. March 2003	2003-03-06	Lower house	Legislative period XXII	-	-	Sitting 8	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-03-06-022-XXII-NRSITZ-00008	ParlaMint-AT_2003-03-06-022-XXII-NRSITZ-00008_d7e392	Sitting Number 8, Legislative period XXII, Thursday, 6. March 2003	2003-03-06	Lower house	Legislative period XXII	-	-	Sitting 8	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2003-03-06-022-XXII-NRSITZ-00008	ParlaMint-AT_2003-03-06-022-XXII-NRSITZ-00008_d7e566	Sitting Number 8, Legislative period XXII, Thursday, 6. March 2003	2003-03-06	Lower house	Legislative period XXII	-	-	Sitting 8	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
