Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-04-29-022-XXII-NRSITZ-00013	ParlaMint-AT_2003-04-29-022-XXII-NRSITZ-00013_d7e359	Sitting Number 13, Legislative period XXII, Tuesday, 29. April 2003	2003-04-29	Lower house	Legislative period XXII	-	-	Sitting 13	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2003-04-29-022-XXII-NRSITZ-00013	ParlaMint-AT_2003-04-29-022-XXII-NRSITZ-00013_d7e390	Sitting Number 13, Legislative period XXII, Tuesday, 29. April 2003	2003-04-29	Lower house	Legislative period XXII	-	-	Sitting 13	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2003-04-29-022-XXII-NRSITZ-00013	ParlaMint-AT_2003-04-29-022-XXII-NRSITZ-00013_d7e668	Sitting Number 13, Legislative period XXII, Tuesday, 29. April 2003	2003-04-29	Lower house	Legislative period XXII	-	-	Sitting 13	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
