Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2003-06-04-022-XXII-NRSITZ-00019	ParlaMint-AT_2003-06-04-022-XXII-NRSITZ-00019_d7e367	Sitting Number 19, Legislative period XXII, Wednesday, 4. June 2003	2003-06-04	Lower house	Legislative period XXII	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-04-022-XXII-NRSITZ-00019	ParlaMint-AT_2003-06-04-022-XXII-NRSITZ-00019_d7e395	Sitting Number 19, Legislative period XXII, Wednesday, 4. June 2003	2003-06-04	Lower house	Legislative period XXII	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2003-06-04-022-XXII-NRSITZ-00019	ParlaMint-AT_2003-06-04-022-XXII-NRSITZ-00019_d7e649	Sitting Number 19, Legislative period XXII, Wednesday, 4. June 2003	2003-06-04	Lower house	Legislative period XXII	-	-	Sitting 19	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
