Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24565	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MićićNataša	Mićić, Nataša	F	1965	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24566	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	PetrovićSrđan	Petrović, Srđan	M	1964	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24567	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MićićNataša	Mićić, Nataša	F	1965	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24568	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Regular	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ĐelićBožidar	Đelić, Božidar	M	1965	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24569	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MićićNataša	Mićić, Nataša	F	1965	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24570	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	ŠešeljVojislav	Šešelj, Vojislav	M	1954	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24571	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MićićNataša	Mićić, Nataša	F	1965	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24572	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	ŠešeljVojislav	Šešelj, Vojislav	M	1954	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24573	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MićićNataša	Mićić, Nataša	F	1965	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24574	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Regular	MP	notMinister	SPS	Socijalistička partija Srbije	Opposition	Centre-left	PetrovićSrđan	Petrović, Srđan	M	1964	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24575	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MićićNataša	Mićić, Nataša	F	1965	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24576	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Regular	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ĐelićBožidar	Đelić, Božidar	M	1965	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24577	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MićićNataša	Mićić, Nataša	F	1965	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24578	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Regular	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	ĐelićBožidar	Đelić, Božidar	M	1965	
ParlaMint-RS-en_2002-12-03-0	ParlaMint-RS_2002-12-03-0.u24579	Term 5, Meeting 4	2002-12-03	Unicameralism	5. mandat	-	Zasedanje 4	2003-04-11	-	Reference	English	Chairperson	MP	notMinister	DOS	Demokratska opozicija Srbije	Coalition	Big tent	MićićNataša	Mićić, Nataša	F	1965	
