Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u1	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u2	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	RafałAmbrozik	Ambrozik, Rafał	M	1979	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u3	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u4	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	KrzysztofSłoń	Słoń, Krzysztof	M	1964	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u5	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u6	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	Opposition	-	PiotrFlorek	Florek, Piotr	M	1954	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u7	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u8	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	TadeuszRomańczuk	Romańczuk, Tadeusz	M	1957	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u9	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u10	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	KazimierzWiatr	Wiatr, Kazimierz	M	1955	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u11	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u12	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ArturWarzocha	Warzocha, Artur	M	1969	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u13	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u14	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	JerzyCzerwiński	Czerwiński, Jerzy	M	1960	
ParlaMint-PL-en_2016-11-17-senat-30-3	ParlaMint-PL_2016-11-17-senat-30-3.u15	Report of the session of the Senat of the Republic of Poland, Term 9, Session 30, Day 3 (2016-11-17)	2016-11-17	Upper house	9. kadencja Senatu	30. sesja Senatu	-	3. dzień sesji Senatu	-	Reference	English	Regular	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	StanisławKarczewski	Karczewski, Stanisław	M	1955	
