Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2022-02-17-PT13-2359	ParlaMint-LV_2022-02-17-PT13-2359-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-02-17-PT13-2359	ParlaMint-LV_2022-02-17-PT13-2359-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Regular	MP	notMinister	KPV-LV	Kam pieder valsts?	Coalition	Centre-right to right	NemiroRalfs	Nemiro, Ralfs	M	-	
ParlaMint-LV-en_2022-02-17-PT13-2359	ParlaMint-LV_2022-02-17-PT13-2359-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
