Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2022-02-17-PT13-2360	ParlaMint-LV_2022-02-17-PT13-2360-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2022-02-17-PT13-2360	ParlaMint-LV_2022-02-17-PT13-2360-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	ZnotiņšReinis	Znotiņš, Reinis	M	-	
ParlaMint-LV-en_2022-02-17-PT13-2360	ParlaMint-LV_2022-02-17-PT13-2360-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2022-02-17-PT13-2360	ParlaMint-LV_2022-02-17-PT13-2360-U4	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Zālīte-GrosaEvita	Zālīte-Grosa, Evita	F	-	
ParlaMint-LV-en_2022-02-17-PT13-2360	ParlaMint-LV_2022-02-17-PT13-2360-U5	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2022-02-17-PT13-2360	ParlaMint-LV_2022-02-17-PT13-2360-U6	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Regular	MP	notMinister	KPV-LV	Kam pieder valsts?	Coalition	Centre-right to right	MožvilloMāris	Možvillo, Māris	M	-	
ParlaMint-LV-en_2022-02-17-PT13-2360	ParlaMint-LV_2022-02-17-PT13-2360-U7	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2022-02-17-PT13-2360	ParlaMint-LV_2022-02-17-PT13-2360-U8	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	ZnotiņšReinis	Znotiņš, Reinis	M	-	
ParlaMint-LV-en_2022-02-17-PT13-2360	ParlaMint-LV_2022-02-17-PT13-2360-U9	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2022-02-17-PT13-2360	ParlaMint-LV_2022-02-17-PT13-2360-U10	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	ZnotiņšReinis	Znotiņš, Reinis	M	-	
ParlaMint-LV-en_2022-02-17-PT13-2360	ParlaMint-LV_2022-02-17-PT13-2360-U11	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-02-17	2022-02-17	Unicameralism	13. sasaukums	-	Regulārā	2022-02-17	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
