Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Regular	MP	notMinister	ZZS	Zaļo un Zemnieku savienība	Opposition	Centre to centre-right	ValainisViktors	Valainis, Viktors	M	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U4	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Regular	MP	notMinister	ZZS	Zaļo un Zemnieku savienība	Opposition	Centre to centre-right	ValainisViktors	Valainis, Viktors	M	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U5	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U6	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Regular	MP	notMinister	KPV-LV	Kam pieder valsts?	Coalition	Centre-right to right	GobzemsAldis	Gobzems, Aldis	M	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U7	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U8	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Regular	MP	notMinister	ZZS	Zaļo un Zemnieku savienība	Opposition	Centre to centre-right	ValainisViktors	Valainis, Viktors	M	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U9	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U10	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Regular	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	FeldmansKrišjānis	Feldmans, Krišjānis	M	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U11	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U12	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Guest	notMP	notMinister	-	-	-	-	VoikaInese	Voika, Inese	F	-	
ParlaMint-LV-en_2022-08-24-PT13-2402	ParlaMint-LV_2022-08-24-PT13-2402-U13	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-08-24	2022-08-24	Unicameralism	13. sasaukums	-	Regulārā	2022-08-24	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
