Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Regular	MP	notMinister	KPV-LV	Kam pieder valsts?	Coalition	Centre-right to right	GobzemsAldis	Gobzems, Aldis	M	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U4	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Regular	MP	notMinister	KPV-LV	Kam pieder valsts?	Coalition	Centre-right to right	GobzemsAldis	Gobzems, Aldis	M	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U5	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U6	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Regular	MP	notMinister	KPV-LV	Kam pieder valsts?	Coalition	Centre-right to right	GobzemsAldis	Gobzems, Aldis	M	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U7	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U8	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Regular	MP	notMinister	KPV-LV	Kam pieder valsts?	Coalition	Centre-right to right	GobzemsAldis	Gobzems, Aldis	M	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U9	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U10	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Regular	notMP	notMinister	-	-	-	-	PugaIvars	Puga, Ivars	M	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U11	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U12	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Regular	MP	notMinister	ZZS	Zaļo un Zemnieku savienība	Opposition	Centre to centre-right	ValainisViktors	Valainis, Viktors	M	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U13	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U14	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Regular	notMP	notMinister	-	-	-	-	PugaIvars	Puga, Ivars	M	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U15	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U16	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Guest	MP	notMinister	JK	Jaunā konservatīvā	Coalition	Centre-right	Beitnere-LeGallaDagmāra	Beitnere-Le Galla, Dagmāra	F	-	
ParlaMint-LV-en_2022-06-08-PT13-2391	ParlaMint-LV_2022-06-08-PT13-2391-U17	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2022-06-08	2022-06-08	Unicameralism	13. sasaukums	-	Regulārā	2022-06-08	-	COVID,War	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
