Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2016-12-15-0	ParlaMint-BA_2016-12-15-0.u117	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 00h	2016-12-15	Unicameralism	7. mandat	-	Sjednica 00h	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	SoftićSafet	Softić, Safet	M	1965	
ParlaMint-BA-en_2016-12-15-0	ParlaMint-BA_2016-12-15-0.u119	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 00h	2016-12-15	Unicameralism	7. mandat	-	Sjednica 00h	2016-12-15	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ZovkoLjilja	Zovko, Ljilja	F	1958	
ParlaMint-BA-en_2016-12-15-0	ParlaMint-BA_2016-12-15-0.u120	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 00h	2016-12-15	Unicameralism	7. mandat	-	Sjednica 00h	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	SoftićSafet	Softić, Safet	M	1965	
ParlaMint-BA-en_2016-12-15-0	ParlaMint-BA_2016-12-15-0.u122	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 00h	2016-12-15	Unicameralism	7. mandat	-	Sjednica 00h	2016-12-15	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	ČolakBariša	Čolak, Bariša	M	1956	
ParlaMint-BA-en_2016-12-15-0	ParlaMint-BA_2016-12-15-0.u123	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 00h	2016-12-15	Unicameralism	7. mandat	-	Sjednica 00h	2016-12-15	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	SoftićSafet	Softić, Safet	M	1965	
