Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2016-06-15-1	ParlaMint-BA_2016-06-15-1.u21387	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 06h	2016-06-15	Unicameralism	7. mandat	-	Sjednica 06h	2016-06-15	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BosićMladen	Bosić, Mladen	M	1961	
ParlaMint-BA-en_2016-06-15-1	ParlaMint-BA_2016-06-15-1.u21390	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 06h	2016-06-15	Unicameralism	7. mandat	-	Sjednica 06h	2016-06-15	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2016-06-15-1	ParlaMint-BA_2016-06-15-1.u21391	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 7, Session 06h	2016-06-15	Unicameralism	7. mandat	-	Sjednica 06h	2016-06-15	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	BosićMladen	Bosić, Mladen	M	1961	
