Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2003-10-08-SDZ3-Izredna-33	ParlaMint-SI_2003-10-08-SDZ3-Izredna-33.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 33, (08. 10. 2003)	2003-10-08	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	ZLSD	United List of Social Democrats	Coalition	Centre-left	PahorBorut	Pahor, Borut	M	1963	
ParlaMint-SI-en_2003-10-08-SDZ3-Izredna-33	ParlaMint-SI_2003-10-08-SDZ3-Izredna-33.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 33, (08. 10. 2003)	2003-10-08	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	BajukAndrej	Bajuk, Andrej	M	1943	
ParlaMint-SI-en_2003-10-08-SDZ3-Izredna-33	ParlaMint-SI_2003-10-08-SDZ3-Izredna-33.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 33, (08. 10. 2003)	2003-10-08	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	ZLSD	United List of Social Democrats	Coalition	Centre-left	PahorBorut	Pahor, Borut	M	1963	
ParlaMint-SI-en_2003-10-08-SDZ3-Izredna-33	ParlaMint-SI_2003-10-08-SDZ3-Izredna-33.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 33, (08. 10. 2003)	2003-10-08	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	BajukAndrej	Bajuk, Andrej	M	1943	
ParlaMint-SI-en_2003-10-08-SDZ3-Izredna-33	ParlaMint-SI_2003-10-08-SDZ3-Izredna-33.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 33, (08. 10. 2003)	2003-10-08	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	ZLSD	United List of Social Democrats	Coalition	Centre-left	PahorBorut	Pahor, Borut	M	1963	
ParlaMint-SI-en_2003-10-08-SDZ3-Izredna-33	ParlaMint-SI_2003-10-08-SDZ3-Izredna-33.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 33, (08. 10. 2003)	2003-10-08	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	BajukAndrej	Bajuk, Andrej	M	1943	
ParlaMint-SI-en_2003-10-08-SDZ3-Izredna-33	ParlaMint-SI_2003-10-08-SDZ3-Izredna-33.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 33, (08. 10. 2003)	2003-10-08	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	ZLSD	United List of Social Democrats	Coalition	Centre-left	PahorBorut	Pahor, Borut	M	1963	
ParlaMint-SI-en_2003-10-08-SDZ3-Izredna-33	ParlaMint-SI_2003-10-08-SDZ3-Izredna-33.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 33, (08. 10. 2003)	2003-10-08	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	NSi	New Slovenia – Christian Democrats	Opposition	Centre-right	BajukAndrej	Bajuk, Andrej	M	1943	
ParlaMint-SI-en_2003-10-08-SDZ3-Izredna-33	ParlaMint-SI_2003-10-08-SDZ3-Izredna-33.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 33, (08. 10. 2003)	2003-10-08	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	ZLSD	United List of Social Democrats	Coalition	Centre-left	PahorBorut	Pahor, Borut	M	1963	
ParlaMint-SI-en_2003-10-08-SDZ3-Izredna-33	ParlaMint-SI_2003-10-08-SDZ3-Izredna-33.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 33, (08. 10. 2003)	2003-10-08	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SDS	Slovenian Democratic Party	Opposition	Right	JanšaJanez	Janša, Ivan Janez	M	1958	
ParlaMint-SI-en_2003-10-08-SDZ3-Izredna-33	ParlaMint-SI_2003-10-08-SDZ3-Izredna-33.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 33, (08. 10. 2003)	2003-10-08	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	ZLSD	United List of Social Democrats	Coalition	Centre-left	PahorBorut	Pahor, Borut	M	1963	
