Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2003-10-20-SDZ3-Izredna-34	ParlaMint-SI_2003-10-20-SDZ3-Izredna-34.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 34, (20. 10. 2003)	2003-10-20	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	ZLSD	United List of Social Democrats	Coalition	Centre-left	PahorBorut	Pahor, Borut	M	1963	
ParlaMint-SI-en_2003-10-20-SDZ3-Izredna-34	ParlaMint-SI_2003-10-20-SDZ3-Izredna-34.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 34, (20. 10. 2003)	2003-10-20	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	LDS	Liberal Democracy of Slovenia	Coalition	Centre to centre-left	RopAnton	Rop, Anton	M	1960	
ParlaMint-SI-en_2003-10-20-SDZ3-Izredna-34	ParlaMint-SI_2003-10-20-SDZ3-Izredna-34.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 3, Extraordinary Session 34, (20. 10. 2003)	2003-10-20	Lower house	3. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	ZLSD	United List of Social Democrats	Coalition	Centre-left	PahorBorut	Pahor, Borut	M	1963	
