Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-RS-en_1997-12-03-0-meta.tsv,1997-12-03,3,8,1,0,0
ParlaMint-RS-en_1997-12-29-0-meta.tsv,1997-12-29,8,18,3,0,0
ParlaMint-RS-en_1998-02-19-0-meta.tsv,1998-02-19,1,2,1,0,0
ParlaMint-RS-en_1998-02-20-0-meta.tsv,1998-02-20,4,5,0,0,0
ParlaMint-RS-en_1998-03-24-0-meta.tsv,1998-03-24,3,11,1,0,0
ParlaMint-RS-en_1998-04-06-0-meta.tsv,1998-04-06,0,1,0,0,0
ParlaMint-RS-en_1998-04-07-0-meta.tsv,1998-04-07,12,44,6,0,0
ParlaMint-RS-en_1998-05-26-0-meta.tsv,1998-05-26,8,32,4,0,0
ParlaMint-RS-en_1998-05-27-0-meta.tsv,1998-05-27,3,18,0,0,0
ParlaMint-RS-en_1998-09-28-0-meta.tsv,1998-09-28,6,26,2,0,0
ParlaMint-RS-en_1998-10-20-0-meta.tsv,1998-10-20,8,17,5,0,0
ParlaMint-RS-en_1998-11-17-0-meta.tsv,1998-11-17,9,24,3,0,0
ParlaMint-RS-en_1998-11-18-0-meta.tsv,1998-11-18,4,19,1,0,0
ParlaMint-RS-en_1998-12-07-0-meta.tsv,1998-12-07,3,27,3,0,0
ParlaMint-RS-en_1998-12-08-0-meta.tsv,1998-12-08,4,14,0,0,0
ParlaMint-RS-en_1998-12-28-0-meta.tsv,1998-12-28,3,13,0,0,0
ParlaMint-RS-en_1999-02-04-0-meta.tsv,1999-02-04,7,17,3,0,0
ParlaMint-RS-en_1999-03-23-0-meta.tsv,1999-03-23,4,17,3,0,0
ParlaMint-RS-en_1999-07-15-0-meta.tsv,1999-07-15,1,7,1,0,0
ParlaMint-RS-en_1999-11-09-0-meta.tsv,1999-11-09,3,13,2,0,0
ParlaMint-RS-en_1999-11-10-0-meta.tsv,1999-11-10,5,9,3,0,0
ParlaMint-RS-en_1999-11-11-0-meta.tsv,1999-11-11,2,4,0,0,0
ParlaMint-RS-en_1999-12-21-0-meta.tsv,1999-12-21,2,12,1,0,0
ParlaMint-RS-en_2000-04-11-0-meta.tsv,2000-04-11,3,11,1,0,0
ParlaMint-RS-en_2000-05-03-0-meta.tsv,2000-05-03,0,8,0,0,0
ParlaMint-RS-en_2000-07-12-0-meta.tsv,2000-07-12,3,18,3,0,0
ParlaMint-RS-en_2000-07-13-0-meta.tsv,2000-07-13,4,22,4,0,0
ParlaMint-RS-en_2000-10-09-0-meta.tsv,2000-10-09,1,11,3,0,0
ParlaMint-RS-en_2000-10-23-0-meta.tsv,2000-10-23,3,22,6,0,0
ParlaMint-RS-en_2000-10-24-0-meta.tsv,2000-10-24,1,5,2,0,0
ParlaMint-RS-en_2001-01-22-0-meta.tsv,2001-01-22,2,6,1,0,0
ParlaMint-RS-en_2001-01-23-0-meta.tsv,2001-01-23,4,16,6,0,0
ParlaMint-RS-en_2001-01-25-0-meta.tsv,2001-01-25,7,34,7,0,0
ParlaMint-RS-en_2001-02-12-0-meta.tsv,2001-02-12,9,38,9,0,0
ParlaMint-RS-en_2001-02-13-0-meta.tsv,2001-02-13,8,42,13,0,0
ParlaMint-RS-en_2001-02-14-0-meta.tsv,2001-02-14,3,24,9,0,0
ParlaMint-RS-en_2001-02-15-0-meta.tsv,2001-02-15,3,15,6,0,0
ParlaMint-RS-en_2001-02-27-0-meta.tsv,2001-02-27,8,37,10,0,0
ParlaMint-RS-en_2001-03-27-0-meta.tsv,2001-03-27,5,25,9,0,0
ParlaMint-RS-en_2001-03-28-0-meta.tsv,2001-03-28,8,37,10,0,0
