Session,Date,Left,Centre,Right
ParlaMint-RS-en_1997-12-03-0-meta.tsv,1997-12-03,2,0,5
ParlaMint-RS-en_1997-12-29-0-meta.tsv,1997-12-29,2,0,16
ParlaMint-RS-en_1998-02-19-0-meta.tsv,1998-02-19,0,0,2
ParlaMint-RS-en_1998-02-20-0-meta.tsv,1998-02-20,1,0,4
ParlaMint-RS-en_1998-03-24-0-meta.tsv,1998-03-24,2,0,5
ParlaMint-RS-en_1998-04-06-0-meta.tsv,1998-04-06,0,0,0
ParlaMint-RS-en_1998-04-07-0-meta.tsv,1998-04-07,2,0,26
ParlaMint-RS-en_1998-05-26-0-meta.tsv,1998-05-26,4,0,26
ParlaMint-RS-en_1998-05-27-0-meta.tsv,1998-05-27,1,0,12
ParlaMint-RS-en_1998-09-28-0-meta.tsv,1998-09-28,4,0,12
ParlaMint-RS-en_1998-10-20-0-meta.tsv,1998-10-20,4,0,10
ParlaMint-RS-en_1998-11-17-0-meta.tsv,1998-11-17,3,0,23
ParlaMint-RS-en_1998-11-18-0-meta.tsv,1998-11-18,4,0,13
ParlaMint-RS-en_1998-12-07-0-meta.tsv,1998-12-07,2,0,17
ParlaMint-RS-en_1998-12-08-0-meta.tsv,1998-12-08,1,0,13
ParlaMint-RS-en_1998-12-28-0-meta.tsv,1998-12-28,2,0,9
ParlaMint-RS-en_1999-02-04-0-meta.tsv,1999-02-04,3,0,9
ParlaMint-RS-en_1999-03-23-0-meta.tsv,1999-03-23,3,0,9
ParlaMint-RS-en_1999-07-15-0-meta.tsv,1999-07-15,3,0,1
ParlaMint-RS-en_1999-11-09-0-meta.tsv,1999-11-09,3,0,7
ParlaMint-RS-en_1999-11-10-0-meta.tsv,1999-11-10,2,0,7
ParlaMint-RS-en_1999-11-11-0-meta.tsv,1999-11-11,0,0,4
ParlaMint-RS-en_1999-12-21-0-meta.tsv,1999-12-21,4,0,4
ParlaMint-RS-en_2000-04-11-0-meta.tsv,2000-04-11,3,0,3
ParlaMint-RS-en_2000-05-03-0-meta.tsv,2000-05-03,2,0,4
ParlaMint-RS-en_2000-07-12-0-meta.tsv,2000-07-12,3,0,9
ParlaMint-RS-en_2000-07-13-0-meta.tsv,2000-07-13,3,0,14
ParlaMint-RS-en_2000-10-09-0-meta.tsv,2000-10-09,2,0,10
ParlaMint-RS-en_2000-10-23-0-meta.tsv,2000-10-23,0,0,26
ParlaMint-RS-en_2000-10-24-0-meta.tsv,2000-10-24,1,0,5
ParlaMint-RS-en_2001-01-22-0-meta.tsv,2001-01-22,1,0,3
ParlaMint-RS-en_2001-01-23-0-meta.tsv,2001-01-23,12,0,7
ParlaMint-RS-en_2001-01-25-0-meta.tsv,2001-01-25,22,0,21
ParlaMint-RS-en_2001-02-12-0-meta.tsv,2001-02-12,22,0,23
ParlaMint-RS-en_2001-02-13-0-meta.tsv,2001-02-13,16,0,21
ParlaMint-RS-en_2001-02-14-0-meta.tsv,2001-02-14,4,0,13
ParlaMint-RS-en_2001-02-15-0-meta.tsv,2001-02-15,2,0,11
ParlaMint-RS-en_2001-02-27-0-meta.tsv,2001-02-27,14,0,22
ParlaMint-RS-en_2001-03-27-0-meta.tsv,2001-03-27,9,0,17
ParlaMint-RS-en_2001-03-28-0-meta.tsv,2001-03-28,18,0,17
ParlaMint-RS-en_2001-03-29-0-meta.tsv,2001-03-29,14,0,14
ParlaMint-RS-en_2001-03-30-0-meta.tsv,2001-03-30,13,0,22
ParlaMint-RS-en_2001-04-09-0-meta.tsv,2001-04-09,6,0,24
ParlaMint-RS-en_2001-04-10-0-meta.tsv,2001-04-10,12,0,19
ParlaMint-RS-en_2001-04-11-0-meta.tsv,2001-04-11,7,0,16
ParlaMint-RS-en_2001-04-12-0-meta.tsv,2001-04-12,18,0,12
ParlaMint-RS-en_2001-04-17-0-meta.tsv,2001-04-17,9,0,18
ParlaMint-RS-en_2001-04-18-0-meta.tsv,2001-04-18,13,0,14
ParlaMint-RS-en_2001-04-19-0-meta.tsv,2001-04-19,1,0,2
ParlaMint-RS-en_2001-04-23-0-meta.tsv,2001-04-23,12,0,17
ParlaMint-RS-en_2001-04-24-0-meta.tsv,2001-04-24,6,0,19
ParlaMint-RS-en_2001-04-25-0-meta.tsv,2001-04-25,5,0,13
ParlaMint-RS-en_2001-04-26-0-meta.tsv,2001-04-26,7,0,14
ParlaMint-RS-en_2001-05-03-0-meta.tsv,2001-05-03,14,0,16
ParlaMint-RS-en_2001-05-04-0-meta.tsv,2001-05-04,3,0,4
ParlaMint-RS-en_2001-05-08-0-meta.tsv,2001-05-08,14,0,22
ParlaMint-RS-en_2001-05-09-0-meta.tsv,2001-05-09,8,0,7
ParlaMint-RS-en_2001-05-10-0-meta.tsv,2001-05-10,13,0,20
ParlaMint-RS-en_2001-05-11-0-meta.tsv,2001-05-11,10,0,15
ParlaMint-RS-en_2001-05-14-0-meta.tsv,2001-05-14,14,0,17
ParlaMint-RS-en_2001-05-15-0-meta.tsv,2001-05-15,10,0,20
ParlaMint-RS-en_2001-05-16-0-meta.tsv,2001-05-16,13,0,15
ParlaMint-RS-en_2001-05-17-0-meta.tsv,2001-05-17,15,0,12
ParlaMint-RS-en_2001-05-21-0-meta.tsv,2001-05-21,6,0,8
ParlaMint-RS-en_2001-05-22-0-meta.tsv,2001-05-22,10,0,14
ParlaMint-RS-en_2001-05-23-0-meta.tsv,2001-05-23,10,0,16
ParlaMint-RS-en_2001-05-24-0-meta.tsv,2001-05-24,5,0,12
ParlaMint-RS-en_2001-05-28-0-meta.tsv,2001-05-28,8,0,13
ParlaMint-RS-en_2001-05-30-0-meta.tsv,2001-05-30,7,0,13
ParlaMint-RS-en_2001-05-31-0-meta.tsv,2001-05-31,9,0,15
ParlaMint-RS-en_2001-06-11-0-meta.tsv,2001-06-11,4,0,22
ParlaMint-RS-en_2001-06-12-0-meta.tsv,2001-06-12,10,0,20
ParlaMint-RS-en_2001-06-13-0-meta.tsv,2001-06-13,6,0,21
ParlaMint-RS-en_2001-06-14-0-meta.tsv,2001-06-14,5,0,4
ParlaMint-RS-en_2001-06-18-0-meta.tsv,2001-06-18,15,0,9
ParlaMint-RS-en_2001-06-19-0-meta.tsv,2001-06-19,8,0,7
ParlaMint-RS-en_2001-06-20-0-meta.tsv,2001-06-20,7,0,6
ParlaMint-RS-en_2001-06-21-0-meta.tsv,2001-06-21,7,0,8
ParlaMint-RS-en_2001-06-25-0-meta.tsv,2001-06-25,13,0,11
ParlaMint-RS-en_2001-06-26-0-meta.tsv,2001-06-26,8,0,18
ParlaMint-RS-en_2001-06-27-0-meta.tsv,2001-06-27,2,0,6
ParlaMint-RS-en_2001-07-09-0-meta.tsv,2001-07-09,14,0,21
ParlaMint-RS-en_2001-07-10-0-meta.tsv,2001-07-10,3,0,16
