Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeBlockMaggie	De Block, Maggie	F	1962	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeBlockMaggie	De Block, Maggie	F	1962	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	DéFi	Démocrate Fédéraliste Indépendant	Opposition	Centre to centre-right	RohonyiSophie	Rohonyi, Sophie	F	1987	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	BoukiliNabil	Boukili, Nabil	M	1985	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	ZanchettaLaurence	Zanchetta, Laurence	F	1972	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VerherstraetenServais	Verherstraeten, Servais	M	1960	
ParlaMint-BE-en_2019-11-13-55-commissie-ic053x	ParlaMint-BE_2019-11-13-55-commissie-ic053x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-11-2019	2019-11-13	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	DeBlockMaggie	De Block, Maggie	F	1962	
