Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-11-05-55-commissie-ic045x	ParlaMint-BE_2019-11-05-55-commissie-ic045x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-11-2019	2019-11-05	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2019-11-05-55-commissie-ic045x	ParlaMint-BE_2019-11-05-55-commissie-ic045x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-11-2019	2019-11-05	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2019-11-05-55-commissie-ic045x	ParlaMint-BE_2019-11-05-55-commissie-ic045x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-11-2019	2019-11-05	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2019-11-05-55-commissie-ic045x	ParlaMint-BE_2019-11-05-55-commissie-ic045x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-11-2019	2019-11-05	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2019-11-05-55-commissie-ic045x	ParlaMint-BE_2019-11-05-55-commissie-ic045x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-11-2019	2019-11-05	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2019-11-05-55-commissie-ic045x	ParlaMint-BE_2019-11-05-55-commissie-ic045x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-11-2019	2019-11-05	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2019-11-05-55-commissie-ic045x	ParlaMint-BE_2019-11-05-55-commissie-ic045x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-11-2019	2019-11-05	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-11-05-55-commissie-ic045x	ParlaMint-BE_2019-11-05-55-commissie-ic045x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-11-2019	2019-11-05	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	VanVaerenberghKristien	Van Vaerenbergh, Kristien	F	1978	
ParlaMint-BE-en_2019-11-05-55-commissie-ic045x	ParlaMint-BE_2019-11-05-55-commissie-ic045x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-11-2019	2019-11-05	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	sp.a	Socialistische Partij Anders	Opposition	Centre-left	KitirMeryame	Kitir, Meryame	F	1980	
ParlaMint-BE-en_2019-11-05-55-commissie-ic045x	ParlaMint-BE_2019-11-05-55-commissie-ic045x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-11-2019	2019-11-05	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2019-11-05-55-commissie-ic045x	ParlaMint-BE_2019-11-05-55-commissie-ic045x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 05-11-2019	2019-11-05	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PS	Parti Socialiste	Opposition	Centre-left to left	AouastiKhalil	Aouasti, Khalil	M	1986	
