Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	BuysroggePeter	Buysrogge, Peter	M	1976	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	BuysroggePeter	Buysrogge, Peter	M	1976	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	BuysroggePeter	Buysrogge, Peter	M	1976	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	WilmèsSophie	Wilmès, Sophie	F	1975	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
ParlaMint-BE-en_2019-01-30-54-commissie-ic1024x	ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 30-01-2019	2019-01-30	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	VanRompuyEric	Van Rompuy, Eric	M	1949	
