Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	DaemsGreet	Daems, Greet	F	1980	
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	DaemsGreet	Daems, Greet	F	1980	
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	WollantsBert	Wollants, Bert	M	1979	
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	VanderStraetenTinne	Van der Straeten, Tinne	F	1978	
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	DaemsGreet	Daems, Greet	F	1980	
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VanQuickenborneVincent	Van Quickenborne, Vincent	M	1973	
ParlaMint-BE-en_2019-10-09-55-commissie-ic026x	ParlaMint-BE_2019-10-09-55-commissie-ic026x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 09-10-2019	2019-10-09	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
