Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-10-02-55-commissie-ic021x	ParlaMint-BE_2019-10-02-55-commissie-ic021x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2019	2019-10-02	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2019-10-02-55-commissie-ic021x	ParlaMint-BE_2019-10-02-55-commissie-ic021x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2019	2019-10-02	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FreilichMichael	Freilich, Michael	M	1980	
ParlaMint-BE-en_2019-10-02-55-commissie-ic021x	ParlaMint-BE_2019-10-02-55-commissie-ic021x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2019	2019-10-02	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2019-10-02-55-commissie-ic021x	ParlaMint-BE_2019-10-02-55-commissie-ic021x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2019	2019-10-02	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FreilichMichael	Freilich, Michael	M	1980	
ParlaMint-BE-en_2019-10-02-55-commissie-ic021x	ParlaMint-BE_2019-10-02-55-commissie-ic021x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2019	2019-10-02	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2019-10-02-55-commissie-ic021x	ParlaMint-BE_2019-10-02-55-commissie-ic021x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2019	2019-10-02	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	VanHeckeStefaan	Van Hecke, Stefaan	M	1973	
ParlaMint-BE-en_2019-10-02-55-commissie-ic021x	ParlaMint-BE_2019-10-02-55-commissie-ic021x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2019	2019-10-02	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	GilissenErik	Gilissen, Erik	M	1968	
ParlaMint-BE-en_2019-10-02-55-commissie-ic021x	ParlaMint-BE_2019-10-02-55-commissie-ic021x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2019	2019-10-02	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	DeBackerPhilippe	De Backer, Philippe	U	-	
ParlaMint-BE-en_2019-10-02-55-commissie-ic021x	ParlaMint-BE_2019-10-02-55-commissie-ic021x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 02-10-2019	2019-10-02	Committee	Zittingperiode 55	-	-	-	-	Reference	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	GilissenErik	Gilissen, Erik	M	1968	
