Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	WaterschootVéronique	Waterschoot, Véronique	F	1966	
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	WaterschootVéronique	Waterschoot, Véronique	F	1966	
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	cdH	Centre démocrate humaniste	Opposition	Centre to centre-right	DallemagneGeorges	Dallemagne, Georges	M	1958	
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	FDF	Fédéralistes Démocrates Francophones	-	Centre to centre-right	CaprasseVéronique	Caprasse, Véronique	F	1951	
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	FDF	Fédéralistes Démocrates Francophones	-	Centre to centre-right	CaprasseVéronique	Caprasse, Véronique	F	1951	
ParlaMint-BE-en_2019-04-03-54-commissie-ic1077x	ParlaMint-BE_2019-04-03-54-commissie-ic1077x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 03-04-2019	2019-04-03	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	BecqSonja	Becq, Sonja	F	1957	
