Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-03-27-54-commissie-ic1067x	ParlaMint-BE_2019-03-27-54-commissie-ic1067x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-03-2019	2019-03-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	DeVriendtWouter	De Vriendt, Wouter	M	1977	
ParlaMint-BE-en_2019-03-27-54-commissie-ic1067x	ParlaMint-BE_2019-03-27-54-commissie-ic1067x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-03-2019	2019-03-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	BacquelaineDaniel	Bacquelaine, Daniel	M	1952	
ParlaMint-BE-en_2019-03-27-54-commissie-ic1067x	ParlaMint-BE_2019-03-27-54-commissie-ic1067x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-03-2019	2019-03-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Groen	Groen	Opposition	Centre-left to left	DeVriendtWouter	De Vriendt, Wouter	M	1977	
ParlaMint-BE-en_2019-03-27-54-commissie-ic1067x	ParlaMint-BE_2019-03-27-54-commissie-ic1067x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-03-2019	2019-03-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	BacquelaineDaniel	Bacquelaine, Daniel	M	1952	
ParlaMint-BE-en_2019-03-27-54-commissie-ic1067x	ParlaMint-BE_2019-03-27-54-commissie-ic1067x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-03-2019	2019-03-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2019-03-27-54-commissie-ic1067x	ParlaMint-BE_2019-03-27-54-commissie-ic1067x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-03-2019	2019-03-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2019-03-27-54-commissie-ic1067x	ParlaMint-BE_2019-03-27-54-commissie-ic1067x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-03-2019	2019-03-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	BacquelaineDaniel	Bacquelaine, Daniel	M	1952	
ParlaMint-BE-en_2019-03-27-54-commissie-ic1067x	ParlaMint-BE_2019-03-27-54-commissie-ic1067x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-03-2019	2019-03-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
ParlaMint-BE-en_2019-03-27-54-commissie-ic1067x	ParlaMint-BE_2019-03-27-54-commissie-ic1067x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 27-03-2019	2019-03-27	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Opposition	Centre-left to left	GilkinetGeorges	Gilkinet, Georges	M	1971	
