Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	PivinPhilippe	Pivin, Philippe	M	1954	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Regular	notMP	Minister	-	-	-	-	GeensKoen	Geens, Koen	M	1958	
ParlaMint-BE-en_2019-02-13-54-commissie-ic1038x	ParlaMint-BE_2019-02-13-54-commissie-ic1038x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 13-02-2019	2019-02-13	Committee	Zittingperiode 54	-	-	-	-	Reference	English	Chairperson	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	GoffinPhilippe	Goffin, Philippe	M	1967	
