Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2018-10-11	ParlaMint-EE_2018-10-11_U1	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 11.10.2018, 10:00	2018-10-11	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-11	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-10-11	ParlaMint-EE_2018-10-11_U2	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 11.10.2018, 10:00	2018-10-11	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-11	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-10-11	ParlaMint-EE_2018-10-11_U3	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 11.10.2018, 10:00	2018-10-11	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-11	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	b_pilvre_19630419	Pilvre-Storgård, Barbi-Jenny	F	1963	
ParlaMint-EE-en_2018-10-11	ParlaMint-EE_2018-10-11_U4	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 11.10.2018, 10:00	2018-10-11	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-11	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-10-11	ParlaMint-EE_2018-10-11_U5	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 11.10.2018, 10:00	2018-10-11	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-11	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
ParlaMint-EE-en_2018-10-11	ParlaMint-EE_2018-10-11_U6	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 11.10.2018, 10:00	2018-10-11	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-11	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	m_aunaste_19531107	Aunaste, Maire	F	1953	
ParlaMint-EE-en_2018-10-11	ParlaMint-EE_2018-10-11_U7	XIII Parliament term, VIII Session, Plenary Assembly regular meeting on Thursday, 11.10.2018, 10:00	2018-10-11	Unicameralism	XIII Riigikogu	VIII regular session	-	2018-10-11	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	k_laanet_19650925	Laanet, Kalle	M	1965	
