Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U1	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U2	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	k_aru_19580801	Aru, Krista	F	1958	
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U3	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U4	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U5	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U6	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U7	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	m_sults_19610324	Sults, Märt	M	1961	
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U8	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U9	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	m_sults_19610324	Sults, Märt	M	1961	
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U10	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U11	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	m_sults_19610324	Sults, Märt	M	1961	
ParlaMint-EE-en_2018-05-28	ParlaMint-EE_2018-05-28_U12	XIII Parliament term, VII Session, Plenary Assembly regular meeting on Monday, 28.05.2018, 15:00	2018-05-28	Unicameralism	XIII Riigikogu	VII regular session	-	2018-05-28	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
