Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2008-05-19-SDZ4-Redna-38	ParlaMint-SI_2008-05-19-SDZ4-Redna-38.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Regular Session 38, (19. 05. 2008)	2008-05-19	Lower house	4. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2008-05-19-SDZ4-Redna-38	ParlaMint-SI_2008-05-19-SDZ4-Redna-38.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Regular Session 38, (19. 05. 2008)	2008-05-19	Lower house	4. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	Lipa	Party Lime Tree	-	-	ZagoracBoštjan	Zagorac, Boštjan	M	1973	
ParlaMint-SI-en_2008-05-19-SDZ4-Redna-38	ParlaMint-SI_2008-05-19-SDZ4-Redna-38.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Regular Session 38, (19. 05. 2008)	2008-05-19	Lower house	4. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2008-05-19-SDZ4-Redna-38	ParlaMint-SI_2008-05-19-SDZ4-Redna-38.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Regular Session 38, (19. 05. 2008)	2008-05-19	Lower house	4. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	Lipa	Party Lime Tree	-	-	ŽgajnerTavšBarbara	Žgajner Tavš, Barbara	F	1976	
ParlaMint-SI-en_2008-05-19-SDZ4-Redna-38	ParlaMint-SI_2008-05-19-SDZ4-Redna-38.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Regular Session 38, (19. 05. 2008)	2008-05-19	Lower house	4. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2008-05-19-SDZ4-Redna-38	ParlaMint-SI_2008-05-19-SDZ4-Redna-38.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Regular Session 38, (19. 05. 2008)	2008-05-19	Lower house	4. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	Lipa	Party Lime Tree	-	-	PečeSašo	Peče, Sašo	M	1971	
ParlaMint-SI-en_2008-05-19-SDZ4-Redna-38	ParlaMint-SI_2008-05-19-SDZ4-Redna-38.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Regular Session 38, (19. 05. 2008)	2008-05-19	Lower house	4. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
ParlaMint-SI-en_2008-05-19-SDZ4-Redna-38	ParlaMint-SI_2008-05-19-SDZ4-Redna-38.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Regular Session 38, (19. 05. 2008)	2008-05-19	Lower house	4. mandat	-	Redna	-	-	Reference	English	Regular	MP	notMinister	Lipa	Party Lime Tree	-	-	ZagoracBoštjan	Zagorac, Boštjan	M	1973	
ParlaMint-SI-en_2008-05-19-SDZ4-Redna-38	ParlaMint-SI_2008-05-19-SDZ4-Redna-38.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 4, Regular Session 38, (19. 05. 2008)	2008-05-19	Lower house	4. mandat	-	Redna	-	-	Reference	English	Chairperson	MP	notMinister	SDS	Slovenian Democratic Party	Coalition	Right	CukjatiFrance	Cukjati, France	M	1943	
