Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2013-05-07-SDZ6-Izredna-32	ParlaMint-SI_2013-05-07-SDZ6-Izredna-32.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (07. 05. 2013)	2013-05-07	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	
ParlaMint-SI-en_2013-05-07-SDZ6-Izredna-32	ParlaMint-SI_2013-05-07-SDZ6-Izredna-32.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (07. 05. 2013)	2013-05-07	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	PS	Positive Slovenia	Coalition	Centre to centre-left	MöderndorferJankoJani	Möderndorfer, Jani	M	1965	
ParlaMint-SI-en_2013-05-07-SDZ6-Izredna-32	ParlaMint-SI_2013-05-07-SDZ6-Izredna-32.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (07. 05. 2013)	2013-05-07	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	
