Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI-en_2013-04-11-SDZ6-Izredna-32	ParlaMint-SI_2013-04-11-SDZ6-Izredna-32.ana.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (11. 04. 2013)	2013-04-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	
ParlaMint-SI-en_2013-04-11-SDZ6-Izredna-32	ParlaMint-SI_2013-04-11-SDZ6-Izredna-32.ana.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (11. 04. 2013)	2013-04-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	PS	Positive Slovenia	Coalition	Centre to centre-left	KociperMaša	Kociper, Maša	F	1972	
ParlaMint-SI-en_2013-04-11-SDZ6-Izredna-32	ParlaMint-SI_2013-04-11-SDZ6-Izredna-32.ana.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (11. 04. 2013)	2013-04-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	
ParlaMint-SI-en_2013-04-11-SDZ6-Izredna-32	ParlaMint-SI_2013-04-11-SDZ6-Izredna-32.ana.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (11. 04. 2013)	2013-04-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	VraničarMateja	Vraničar, Mateja	F	-	
ParlaMint-SI-en_2013-04-11-SDZ6-Izredna-32	ParlaMint-SI_2013-04-11-SDZ6-Izredna-32.ana.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (11. 04. 2013)	2013-04-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	
ParlaMint-SI-en_2013-04-11-SDZ6-Izredna-32	ParlaMint-SI_2013-04-11-SDZ6-Izredna-32.ana.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (11. 04. 2013)	2013-04-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	DL	Civic List	Coalition	Centre to centre-right	HočevarKatarina	Hočevar, Katarina	F	1977	
ParlaMint-SI-en_2013-04-11-SDZ6-Izredna-32	ParlaMint-SI_2013-04-11-SDZ6-Izredna-32.ana.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (11. 04. 2013)	2013-04-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	
ParlaMint-SI-en_2013-04-11-SDZ6-Izredna-32	ParlaMint-SI_2013-04-11-SDZ6-Izredna-32.ana.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (11. 04. 2013)	2013-04-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	SLS	Slovenian People's Party	Opposition	Centre-right	BogovičFranc	Bogovič, Franc	M	1963	
ParlaMint-SI-en_2013-04-11-SDZ6-Izredna-32	ParlaMint-SI_2013-04-11-SDZ6-Izredna-32.ana.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (11. 04. 2013)	2013-04-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	
ParlaMint-SI-en_2013-04-11-SDZ6-Izredna-32	ParlaMint-SI_2013-04-11-SDZ6-Izredna-32.ana.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (11. 04. 2013)	2013-04-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Regular	MP	notMinister	DeSUS	Democratic Party of Pensioners of Slovenia	Coalition	Centre to centre-left	KotnikPoropatMarjana	Kotnik Poropat, Marjana	F	1944	
ParlaMint-SI-en_2013-04-11-SDZ6-Izredna-32	ParlaMint-SI_2013-04-11-SDZ6-Izredna-32.ana.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 6, Extraordinary Session 32, (11. 04. 2013)	2013-04-11	Lower house	6. mandat	-	Izredna	-	-	Reference	English	Chairperson	MP	notMinister	SD	Social Democrats	Coalition	Centre-left	VeberJanko	Veber, Janko	M	1960	
