Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2015-07-01-tbmm-T25	tbmm-2015-07-01sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 3	2015-07-01	Unicameralism	25	1	3	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Deniz.Baykal	Baykal, Deniz	M	1938	
ParlaMint-TR-en_2015-07-01-tbmm-T25	tbmm-2015-07-01sit01spe0002par0050	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 3	2015-07-01	Unicameralism	25	1	3	-	-	Reference	English	Regular	MP	notMinister	MHP	Nationalist Movement Party	Opposition	Right to far-right	Seyfettin.Yılmaz	Yılmaz, Seyfettin	M	1968	
ParlaMint-TR-en_2015-07-01-tbmm-T25	tbmm-2015-07-01sit01spe0001par0051	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 3	2015-07-01	Unicameralism	25	1	3	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Deniz.Baykal	Baykal, Deniz	M	1938	
ParlaMint-TR-en_2015-07-01-tbmm-T25	tbmm-2015-07-01sit01spe0003par0129	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 3	2015-07-01	Unicameralism	25	1	3	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmet.Yılmaz	Yılmaz, İsmet	M	1961	
ParlaMint-TR-en_2015-07-01-tbmm-T25	tbmm-2015-07-01sit01spe0004par0142	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 3	2015-07-01	Unicameralism	25	1	3	-	-	Reference	English	Chairperson	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Deniz.Baykal	Baykal, Deniz	M	1938	
