Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0002par0069	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Ahmet.Davutoğlu	Davutoğlu, Ahmet	M	1959	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0003par0089	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0004par0092	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kemal.Kılıçdaroğlu	Kılıçdaroğlu, Kemal	M	1948	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0005par0101	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	AliHaydar.Öner	Öner, Ali Haydar	M	1948	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0004par0102	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Kemal.Kılıçdaroğlu	Kılıçdaroğlu, Kemal	M	1948	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0006par0110	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0007par0114	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Regular	MP	notMinister	MHP	Nationalist Movement Party	Opposition	Right to far-right	Devlet.Bahçeli	Bahçeli, Devlet	M	1948	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0008par0127	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0009par0131	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	İdris.Baluken	Baluken, İdris	M	1976	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0010par0147	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0009par0148	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Regular	MP	notMinister	HDP	Peoples' Democratic Party	Opposition	Centre-left to left	İdris.Baluken	Baluken, İdris	M	1976	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0010par0151	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	Cemil.Çiçek	Çiçek, Cemil	M	1946	
ParlaMint-TR-en_2015-04-23-tbmm-T24	tbmm-2015-04-23sit01spe0011par0155	The Turkish parliamentary corpus ParlaMint-TR-en, Term 24, Year 5, Session 92	2015-04-23	Unicameralism	24	5	92	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	EmineÜlker.Tarhan	Tarhan, Emine Ülker	F	1963	
