Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2015-07-07-tbmm-T25	tbmm-2015-07-07sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 4	2015-07-07	Unicameralism	25	1	4	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmet.Yılmaz	Yılmaz, İsmet	M	1961	
ParlaMint-TR-en_2015-07-07-tbmm-T25	tbmm-2015-07-07sit01spe0002par0003	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 4	2015-07-07	Unicameralism	25	1	4	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Mahmut.Tanal	Tanal, Mahmut	M	1961	
ParlaMint-TR-en_2015-07-07-tbmm-T25	tbmm-2015-07-07sit01spe0003par0004	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 4	2015-07-07	Unicameralism	25	1	4	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Musa.Çam	Çam, Musa	M	1953	
ParlaMint-TR-en_2015-07-07-tbmm-T25	tbmm-2015-07-07sit01spe0001par0005	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 4	2015-07-07	Unicameralism	25	1	4	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmet.Yılmaz	Yılmaz, İsmet	M	1961	
ParlaMint-TR-en_2015-07-07-tbmm-T25	tbmm-2015-07-07sit01spe0002par0006	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 4	2015-07-07	Unicameralism	25	1	4	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Mahmut.Tanal	Tanal, Mahmut	M	1961	
ParlaMint-TR-en_2015-07-07-tbmm-T25	tbmm-2015-07-07sit01spe0003par0007	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 4	2015-07-07	Unicameralism	25	1	4	-	-	Reference	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Musa.Çam	Çam, Musa	M	1953	
ParlaMint-TR-en_2015-07-07-tbmm-T25	tbmm-2015-07-07sit01spe0001par0008	The Turkish parliamentary corpus ParlaMint-TR-en, Term 25, Year 1, Session 4	2015-07-07	Unicameralism	25	1	4	-	-	Reference	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmet.Yılmaz	Yılmaz, İsmet	M	1961	
