Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12783	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12785	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Regular	MP	notMinister	NS_RB	Narodna stranka Radom za boljitak	Opposition	Centre	IvankovićLijanovićMladen	Ivanković Lijanović, Mladen	M	1960	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12786	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12787	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Regular	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	BelkićBeriz	Belkić, Beriz	M	1946	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12788	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12790	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	SokolovićSalko	Sokolović, Salko	M	1961	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12791	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12792	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	SokolovićSalko	Sokolović, Salko	M	1961	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12793	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12797	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12798	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12800	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Coalition	Centre-left	BećirovićDenis	Bećirović, Denis	M	1975	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12801	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12802	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12803	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12804	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	DžaferovićŠefik	Džaferović, Šefik	M	1957	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12805	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12806	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12807	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12808	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	SokolovićSalko	Sokolović, Salko	M	1961	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12810	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12811	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	MajkićDušanka	Majkić, Dušanka	F	1952	
ParlaMint-BA-en_2012-12-06-4	ParlaMint-BA_2012-12-06-4.u12812	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 38	2012-12-06	Unicameralism	6. mandat	-	Sjednica 38	2014-06-06	-	Reference	English	Chairperson	MP	notMinister	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	Right	LjubićBožo	Ljubić, Božo	M	1949	
