Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2012-02-03-0	ParlaMint-BA_2012-02-03-0.u1060	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 12	2012-02-03	Unicameralism	6. mandat	-	Sjednica 12	2012-02-03	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2012-02-03-0	ParlaMint-BA_2012-02-03-0.u1061	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 12	2012-02-03	Unicameralism	6. mandat	-	Sjednica 12	2012-02-03	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	KrištoBorjana	Krišto, Borjana	F	1961	
ParlaMint-BA-en_2012-02-03-0	ParlaMint-BA_2012-02-03-0.u1062	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 12	2012-02-03	Unicameralism	6. mandat	-	Sjednica 12	2012-02-03	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2012-02-03-0	ParlaMint-BA_2012-02-03-0.u1063	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 12	2012-02-03	Unicameralism	6. mandat	-	Sjednica 12	2012-02-03	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2012-02-03-0	ParlaMint-BA_2012-02-03-0.u1064	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 12	2012-02-03	Unicameralism	6. mandat	-	Sjednica 12	2012-02-03	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2012-02-03-0	ParlaMint-BA_2012-02-03-0.u1065	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 12	2012-02-03	Unicameralism	6. mandat	-	Sjednica 12	2012-02-03	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2012-02-03-0	ParlaMint-BA_2012-02-03-0.u1066	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 12	2012-02-03	Unicameralism	6. mandat	-	Sjednica 12	2012-02-03	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2012-02-03-0	ParlaMint-BA_2012-02-03-0.u1067	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 12	2012-02-03	Unicameralism	6. mandat	-	Sjednica 12	2012-02-03	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2012-02-03-0	ParlaMint-BA_2012-02-03-0.u1068	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 12	2012-02-03	Unicameralism	6. mandat	-	Sjednica 12	2012-02-03	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2012-02-03-0	ParlaMint-BA_2012-02-03-0.u1069	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 12	2012-02-03	Unicameralism	6. mandat	-	Sjednica 12	2012-02-03	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2012-02-03-0	ParlaMint-BA_2012-02-03-0.u1070	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 12	2012-02-03	Unicameralism	6. mandat	-	Sjednica 12	2012-02-03	-	Reference	English	Chairperson	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
