Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-10-14-025-XXV-NRSITZ-00097	ParlaMint-AT_2015-10-14-025-XXV-NRSITZ-00097_d7e368	Sitting Number 97, Legislative period XXV, Wednesday, 14. October 2015	2015-10-14	Lower house	Legislative period XXV	-	-	Sitting 97	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-10-14-025-XXV-NRSITZ-00097	ParlaMint-AT_2015-10-14-025-XXV-NRSITZ-00097_d7e399	Sitting Number 97, Legislative period XXV, Wednesday, 14. October 2015	2015-10-14	Lower house	Legislative period XXV	-	-	Sitting 97	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-10-14-025-XXV-NRSITZ-00097	ParlaMint-AT_2015-10-14-025-XXV-NRSITZ-00097_d7e665	Sitting Number 97, Legislative period XXV, Wednesday, 14. October 2015	2015-10-14	Lower house	Legislative period XXV	-	-	Sitting 97	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
