Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-12-09-025-XXV-NRSITZ-00108	ParlaMint-AT_2015-12-09-025-XXV-NRSITZ-00108_d7e379	Sitting Number 108, Legislative period XXV, Wednesday, 9. December 2015	2015-12-09	Lower house	Legislative period XXV	-	-	Sitting 108	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2015-12-09-025-XXV-NRSITZ-00108	ParlaMint-AT_2015-12-09-025-XXV-NRSITZ-00108_d7e410	Sitting Number 108, Legislative period XXV, Wednesday, 9. December 2015	2015-12-09	Lower house	Legislative period XXV	-	-	Sitting 108	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2015-12-09-025-XXV-NRSITZ-00108	ParlaMint-AT_2015-12-09-025-XXV-NRSITZ-00108_d7e519	Sitting Number 108, Legislative period XXV, Wednesday, 9. December 2015	2015-12-09	Lower house	Legislative period XXV	-	-	Sitting 108	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
