Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-07-07-025-XXV-NRSITZ-00084	ParlaMint-AT_2015-07-07-025-XXV-NRSITZ-00084_d7e501	Sitting Number 84, Legislative period XXV, Tuesday, 7. July 2015	2015-07-07	Lower house	Legislative period XXV	-	-	Sitting 84	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-07-07-025-XXV-NRSITZ-00084	ParlaMint-AT_2015-07-07-025-XXV-NRSITZ-00084_d7e532	Sitting Number 84, Legislative period XXV, Tuesday, 7. July 2015	2015-07-07	Lower house	Legislative period XXV	-	-	Sitting 84	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-07-07-025-XXV-NRSITZ-00084	ParlaMint-AT_2015-07-07-025-XXV-NRSITZ-00084_d7e862	Sitting Number 84, Legislative period XXV, Tuesday, 7. July 2015	2015-07-07	Lower house	Legislative period XXV	-	-	Sitting 84	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
