Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-09-01-025-XXV-NRSITZ-00090	ParlaMint-AT_2015-09-01-025-XXV-NRSITZ-00090_d7e467	Sitting Number 90, Legislative period XXV, Tuesday, 1. September 2015	2015-09-01	Lower house	Legislative period XXV	-	-	Sitting 90	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-09-01-025-XXV-NRSITZ-00090	ParlaMint-AT_2015-09-01-025-XXV-NRSITZ-00090_d7e498	Sitting Number 90, Legislative period XXV, Tuesday, 1. September 2015	2015-09-01	Lower house	Legislative period XXV	-	-	Sitting 90	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-09-01-025-XXV-NRSITZ-00090	ParlaMint-AT_2015-09-01-025-XXV-NRSITZ-00090_d7e715	Sitting Number 90, Legislative period XXV, Tuesday, 1. September 2015	2015-09-01	Lower house	Legislative period XXV	-	-	Sitting 90	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-09-01-025-XXV-NRSITZ-00090	ParlaMint-AT_2015-09-01-025-XXV-NRSITZ-00090_d7e965	Sitting Number 90, Legislative period XXV, Tuesday, 1. September 2015	2015-09-01	Lower house	Legislative period XXV	-	-	Sitting 90	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-09-01-025-XXV-NRSITZ-00090	ParlaMint-AT_2015-09-01-025-XXV-NRSITZ-00090_d7e1037	Sitting Number 90, Legislative period XXV, Tuesday, 1. September 2015	2015-09-01	Lower house	Legislative period XXV	-	-	Sitting 90	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-09-01-025-XXV-NRSITZ-00090	ParlaMint-AT_2015-09-01-025-XXV-NRSITZ-00090_d7e1070	Sitting Number 90, Legislative period XXV, Tuesday, 1. September 2015	2015-09-01	Lower house	Legislative period XXV	-	-	Sitting 90	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
