Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-04-22-025-XXV-NRSITZ-00069	ParlaMint-AT_2015-04-22-025-XXV-NRSITZ-00069_d7e400	Sitting Number 69, Legislative period XXV, Wednesday, 22. April 2015	2015-04-22	Lower house	Legislative period XXV	-	-	Sitting 69	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-04-22-025-XXV-NRSITZ-00069	ParlaMint-AT_2015-04-22-025-XXV-NRSITZ-00069_d7e434	Sitting Number 69, Legislative period XXV, Wednesday, 22. April 2015	2015-04-22	Lower house	Legislative period XXV	-	-	Sitting 69	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-04-22-025-XXV-NRSITZ-00069	ParlaMint-AT_2015-04-22-025-XXV-NRSITZ-00069_d7e920	Sitting Number 69, Legislative period XXV, Wednesday, 22. April 2015	2015-04-22	Lower house	Legislative period XXV	-	-	Sitting 69	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
