Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-02-25-025-XXV-NRSITZ-00062	ParlaMint-AT_2015-02-25-025-XXV-NRSITZ-00062_d7e358	Sitting Number 62, Legislative period XXV, Wednesday, 25. February 2015	2015-02-25	Lower house	Legislative period XXV	-	-	Sitting 62	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-02-25-025-XXV-NRSITZ-00062	ParlaMint-AT_2015-02-25-025-XXV-NRSITZ-00062_d7e389	Sitting Number 62, Legislative period XXV, Wednesday, 25. February 2015	2015-02-25	Lower house	Legislative period XXV	-	-	Sitting 62	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2015-02-25-025-XXV-NRSITZ-00062	ParlaMint-AT_2015-02-25-025-XXV-NRSITZ-00062_d7e1240	Sitting Number 62, Legislative period XXV, Wednesday, 25. February 2015	2015-02-25	Lower house	Legislative period XXV	-	-	Sitting 62	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_00145	Bures, Doris	F	1962	
