Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2015-06-08-025-XXV-NRSITZ-00078	ParlaMint-AT_2015-06-08-025-XXV-NRSITZ-00078_d7e455	Sitting Number 78, Legislative period XXV, Monday, 8. June 2015	2015-06-08	Lower house	Legislative period XXV	-	-	Sitting 78	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-06-08-025-XXV-NRSITZ-00078	ParlaMint-AT_2015-06-08-025-XXV-NRSITZ-00078_d7e486	Sitting Number 78, Legislative period XXV, Monday, 8. June 2015	2015-06-08	Lower house	Legislative period XXV	-	-	Sitting 78	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2015-06-08-025-XXV-NRSITZ-00078	ParlaMint-AT_2015-06-08-025-XXV-NRSITZ-00078_d7e654	Sitting Number 78, Legislative period XXV, Monday, 8. June 2015	2015-06-08	Lower house	Legislative period XXV	-	-	Sitting 78	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
